experiment,position,frame,objects,median_area,fragments,merged,on_trap
2023-05-23_ageing_optoWhi3_PBmutants_noLight,67,93,109,248.0,0.21100917431192662,0.01834862385321101,0.08256880733944955
2023-05-23_ageing_optoWhi3_PBmutants_noLight,67,186,155,351.0,0.18064516129032257,0.25161290322580643,0.08387096774193549
2023-05-23_ageing_optoWhi3_PBmutants_noLight,67,280,1165,179.0,0.3098712446351931,0.12532188841201716,0.10815450643776824
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,0,0,181,21.0,0.7513812154696132,0.0,0.7016574585635359
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,0,124,194,32.0,0.5618556701030928,0.13402061855670103,0.5257731958762887
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,0,248,294,209.5,0.42517006802721086,0.20408163265306123,0.282312925170068
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,0,372,2850,128.0,0.4624561403508772,0.05333333333333334,0.048771929824561404
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,17,0,130,248.0,0.2,0.015384615384615385,0.07692307692307693
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,17,125,137,431.0,0.17518248175182483,0.30656934306569344,0.072992700729927
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,17,251,309,346.0,0.18122977346278318,0.2588996763754045,0.025889967637540454
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,17,377,2411,171.0,0.3110742430526752,0.07839070924927416,0.06760680215678141
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,18,0,331,141.0,0.4743202416918429,0.01812688821752266,0.49244712990936557
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,18,130,239,270.0,0.3138075313807531,0.18410041841004185,0.34309623430962344
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,18,261,2742,153.0,0.3570386579139314,0.06710430342815463,0.05689277899343545
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,18,392,1059,164.0,0.4202077431539188,0.19924457034938622,0.02644003777148253
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,19,0,207,128.0,0.4782608695652174,0.004830917874396135,0.3864734299516908
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,19,131,232,325.5,0.21551724137931033,0.2801724137931034,0.14224137931034483
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,19,263,2627,149.0,0.4080700418728588,0.06585458698134755,0.0673772363913209
2023-07-20_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOn,19,395,1222,188.0,0.3657937806873977,0.1939443535188216,0.036824877250409165
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,9,0,107,209.0,0.27102803738317754,0.018691588785046728,0.1308411214953271
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,9,102,54,349.0,0.12962962962962962,0.1111111111111111,0.07407407407407407
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,9,204,86,486.0,0.18604651162790697,0.36046511627906974,0.05813953488372093
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,9,306,294,248.5,0.2891156462585034,0.22789115646258504,0.023809523809523808
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,10,0,116,136.0,0.47413793103448276,0.017241379310344827,0.21551724137931033
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,10,102,98,301.0,0.1836734693877551,0.08163265306122448,0.11224489795918367
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,10,204,142,482.5,0.16901408450704225,0.36619718309859156,0.1267605633802817
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,10,306,1837,151.0,0.35547087642896025,0.05552531301034295,0.033750680457267285
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,22,0,297,28.0,0.7003367003367004,0.010101010101010102,0.4276094276094276
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,22,135,140,147.0,0.4642857142857143,0.09285714285714286,0.42857142857142855
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,22,270,190,168.5,0.47368421052631576,0.20526315789473684,0.4368421052631579
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,22,406,290,100.0,0.5172413793103449,0.1896551724137931,0.5689655172413793
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,26,0,197,156.0,0.4010152284263959,0.0,0.13705583756345177
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,26,135,239,191.0,0.36401673640167365,0.08368200836820083,0.3472803347280335
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,26,270,258,322.5,0.20155038759689922,0.2558139534883721,0.11627906976744186
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,26,406,3107,148.0,0.36433859028001286,0.04892178950756357,0.036691342130672676
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,36,0,40,180.5,0.475,0.0,0.1
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,36,102,34,230.5,0.17647058823529413,0.058823529411764705,0.029411764705882353
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,36,204,51,435.0,0.13725490196078433,0.3333333333333333,0.0196078431372549
2023-07-25_ageing_optoWhi3_Lsm4dC_Edc3dYjef_LightOff,36,306,99,347.0,0.1919191919191919,0.30303030303030304,0.020202020202020204
